world,hour_utc,rel,bias_factor
Oceanis,12,1.55517880652355,0.6430128778795553
Oceanis,13,1.4663370858969882,0.6819714304561012
Oceanis,14,1.306601466992665,0.7653443113772455
Oceanis,15,1.0840484698675408,0.922467977951382
Oceanis,16,0.8964937263225773,1.1154567741394088
Oceanis,17,0.7941911389344153,1.25914273148618
Oceanis,18,0.7143233294822536,1.3999262780970723
Oceanis,19,0.7089389827776136,1.4105586295762904
Oceanis,20,0.624584217738252,1.6010651111569962
Oceanis,21,0.6254816088556919,1.5987680306531844
Oceanis,22,0.628173782208012,1.5919161676646707
Oceanis,23,0.6694537736102528,1.4937551171116212
Ombra,0,1.793530261271744,0.5575595916017201
Ombra,1,1.644050814194736,0.6082537056434018
Ombra,2,1.2667825380645557,0.7894014718010264
Ombra,3,0.9872336616653151,1.0129314252850232
Ombra,4,0.6820278652453939,1.4662157529886253
Ombra,5,0.4549083471492831,2.1982450009250747
Ombra,6,0.2965047539781251,3.372627206084446
Ombra,7,0.23336642036201574,4.285106650942856
Ombra,8,0.22176503043962106,4.509277220207473
Ombra,9,0.4147496897256092,2.4110928224240062
Ombra,10,0.5791770815103182,1.726587656735835
Ombra,11,0.7748389846245513,1.2905907160628356
Ombra,12,0.9537681138122535,1.048472878803796
Ombra,13,1.0999010061039556,0.909172729591527
Ombra,14,1.1480913950123643,0.8710107961302423
Ombra,15,1.132697242999956,0.8828484453193278
Ombra,16,1.1291275845622961,0.8856395093630166
Ombra,17,1.1683938273765548,0.8558757985270627
Ombra,18,1.1976204058348952,0.8349891126837236
Ombra,19,1.2058752409719837,0.8292731835127156
Ombra,20,1.2411256180438752,0.8057202151512184
Ombra,21,1.296901531132311,0.7710685630287679
Ombra,22,1.4430344234240131,0.6929841615470358
Ombra,23,1.6105852663416744,0.6208923059823006
Opulera,0,1.2877371716982895,0.7765559789511886
Opulera,1,1.4064765732444955,0.7109965562335495
Opulera,2,1.5625659273897428,0.6399729972805014
Opulera,3,1.668483703416875,0.5993465791437506
Opulera,4,1.6155248154033088,0.6189938962654401
Opulera,5,1.3406960597118558,0.7458812105518691
Opulera,6,1.0580628363131401,0.9451234517266835
Opulera,7,0.7865788524962279,1.271328356752123
