horizon,target,fold,model,n_test,rmse,mae,r2_oos,dir_acc,dm_t_vs_rw,dm_p_vs_rw
30,ret,4,Ridge,7125,0.044395284848561194,0.03448995272963622,-0.6391228724628253,0.5578947368421052,-7.1366867496176765,9.561240688071848e-13
30,ret,4,ElasticNet,7125,0.04090397976942342,0.031177975435235095,-0.3914542981942555,0.5942456140350877,-4.952757385417809,7.316917929323097e-07
30,ret,4,RandomForest,7125,0.031024044046625104,0.023127146672236792,0.19954921757209365,0.6527719298245614,5.427509977245104,5.714567330450393e-08
30,ret,4,XGBoost,7125,0.032131360927032476,0.024361519885332503,0.14138977147894793,0.6453333333333333,3.9612211624259817,7.456742530220772e-05
30,ret,4,LightGBM,7125,0.03154868765997837,0.023914605578562207,0.17224766641966538,0.6572631578947369,4.854093183563886,1.2093886250230668e-06
30,ret,5,RandomWalk,5128,0.03115905128786701,0.023559695008678595,0.0,0.0001950078003120125,,
30,ret,5,Naive,5128,0.3858673018976188,0.23218287952504302,-152.35837729380793,0.46957878315132606,-16.282727095142032,0.0
30,ret,5,MovingAvg,5128,0.03142476836368079,0.023776992605501923,-0.01712825334606749,0.4204368174726989,-4.363386231365046,1.280645536194669e-05
30,ret,5,Ridge,5128,0.04655952113305488,0.040463084747863594,-1.2327934924798631,0.45553822152886114,-20.230741985164812,0.0
30,ret,5,ElasticNet,5128,0.04663701818713977,0.040646889487923644,-1.2402325262063902,0.453393135725429,-20.7510564998596,0.0
30,ret,5,RandomForest,5128,0.04972154996788886,0.04043711362003053,-1.5463662223838313,0.421606864274571,-9.500386388540239,0.0
