world,origin,h,actual,model,rw,snaive,is_sa,in80,in90
Calmera,2025-12-02,6m,41098.5,43901.97652352067,44278.5,44241.5,False,True,True
Calmera,2025-10-23,2w,44904.0,44156.37017081567,44111.0,42847.0,False,True,True
Calmera,2025-10-23,1m,43667.0,44151.47143465841,44111.0,42847.0,False,True,True
Calmera,2025-10-23,3m,42053.5,44166.305560883,44111.0,42847.0,False,True,True
Calmera,2025-10-23,6m,40689.0,44215.69750103313,44111.0,42847.0,False,True,True
Calmera,2025-09-13,2w,41373.5,39887.40908118637,39862.5,39487.5,False,True,True
Calmera,2025-09-13,1m,43352.5,39853.81061291894,39862.5,39487.5,False,False,False
Calmera,2025-09-13,3m,43770.0,39829.795024261606,39862.5,39487.5,False,False,True
Calmera,2025-09-13,6m,40906.0,39650.56307583535,39862.5,39487.5,False,True,True
Calmera,2025-08-04,2w,39901.0,39983.17331285546,39925.0,39370.5,False,True,True
Calmera,2025-08-04,1m,39847.0,39984.83049387185,39925.0,39370.5,False,True,True
Calmera,2025-08-04,3m,44767.0,40169.9927396043,39925.0,39370.5,False,False,True
Calmera,2025-08-04,6m,42268.5,40069.783527489606,39925.0,39370.5,False,True,True
Calmera,2025-06-25,2w,39533.5,39257.494493674894,39161.0,39444.0,False,True,True
Calmera,2025-06-25,1m,39397.0,39289.55773949936,39161.0,39444.0,False,True,True
Calmera,2025-06-25,3m,41386.5,39330.701189287654,39161.0,39444.0,False,True,True
Calmera,2025-06-25,6m,42688.5,39414.74015356199,39161.0,39444.0,False,True,True
Calmera,2025-05-16,2w,40449.5,40246.918179545435,40166.0,39755.5,False,True,True
Calmera,2025-05-16,1m,38998.5,40278.44449754001,40166.0,39755.5,False,True,True
Calmera,2025-05-16,3m,40058.5,40222.33218817719,40166.0,39755.5,False,True,True
Calmera,2025-05-16,6m,43877.0,40267.21230971236,40166.0,39755.5,False,True,True
Calmera,2025-04-06,2w,40224.0,40526.03639155104,40391.5,41274.0,False,True,True
Calmera,2025-04-06,1m,39980.0,40650.04164905405,40391.5,41274.0,False,True,True
Calmera,2025-04-06,3m,38937.5,40845.78598279598,40391.5,41274.0,False,True,True
Calmera,2025-04-06,6m,42066.5,41414.24762806155,40391.5,41274.0,False,True,True
Calmera,2025-02-25,2w,41311.5,42414.4403002116,42269.5,42166.5,False,True,True
Calmera,2025-02-25,1m,41244.0,42486.75363830894,42269.5,42166.5,False,True,True
Calmera,2025-02-25,3m,39701.5,42573.16100818835,42269.5,42166.5,False,True,True
Calmera,2025-02-25,6m,40380.5,42757.74112972618,42269.5,42166.5,False,True,True
Calmera,2025-01-16,2w,42250.0,40944.817547123464,40883.5,40610.5,False,True,True
Calmera,2025-01-16,1m,42260.0,41067.11388261769,40883.5,40610.5,False,True,True
Calmera,2025-01-16,3m,40438.0,41202.6307423161,40883.5,40610.5,False,True,True
Calmera,2025-01-16,6m,39735.0,41348.360527915924,40883.5,40610.5,False,True,True
Calmera,2024-12-07,2w,41125.0,42923.31084728084,42826.0,42652.5,False,True,True
Calmera,2024-12-07,1m,39873.0,42978.52178688243,42826.0,42652.5,False,False,True
Calmera,2024-12-07,3m,41491.0,43091.33175968315,42826.0,42652.5,False,True,True
Calmera,2024-12-07,6m,39374.5,43387.89176288656,42826.0,42652.5,False,True,True
Calmera,2024-10-28,2w,41415.0,42082.07087293368,41970.0,41782.0,False,True,True
Calmera,2024-10-28,1m,42691.0,42245.4371129599,41970.0,41782.0,False,True,True
Calmera,2024-10-28,3m,41978.5,42461.667794193476,41970.0,41782.0,False,True,True
Calmera,2024-10-28,6m,40025.0,42933.4959488345,41970.0,41782.0,False,True,True
Celesta,2026-01-11,2w,40799.0,41619.90782198943,41605.0,41663.5,False,True,True
Celesta,2026-01-11,1m,41116.5,41638.10418318804,41605.0,41663.5,False,True,True
Celesta,2026-01-11,3m,41788.5,41733.33001071075,41605.0,41663.5,False,True,True
Celesta,2026-01-11,6m,41440.5,41848.01330528445,41605.0,41663.5,False,True,True
Celesta,2025-12-02,2w,43684.0,45193.638222500784,45203.0,44725.0,False,False,True
Celesta,2025-12-02,1m,43188.0,45286.88930428384,45203.0,44725.0,False,False,True
Celesta,2025-12-02,3m,41440.5,45503.925804048275,45203.0,44725.0,False,False,True
Celesta,2025-12-02,6m,40872.0,45903.15579035836,45203.0,44725.0,False,False,True
Celesta,2025-10-23,2w,44308.5,42954.66671800537,42933.0,41851.5,False,False,True
Celesta,2025-10-23,1m,44636.5,42931.00227743839,42933.0,41851.5,False,True,True
Celesta,2025-10-23,3m,41141.5,42924.21579949322,42933.0,41851.5,False,True,True
Celesta,2025-10-23,6m,41010.0,42907.44516449316,42933.0,41851.5,False,True,True
Celesta,2025-09-13,2w,42002.5,40720.60237337232,40713.0,40107.5,False,False,True
Celesta,2025-09-13,1m,42534.0,40749.51179533641,40713.0,40107.5,False,False,True
Celesta,2025-09-13,3m,44001.0,40762.75413500966,40713.0,40107.5,False,False,True
Celesta,2025-09-13,6m,40576.5,40783.16685425225,40713.0,40107.5,False,True,True
Celesta,2025-08-04,2w,39934.0,40134.319563943965,40165.0,39162.0,False,True,True
Celesta,2025-08-04,1m,40365.5,40105.02856919287,40165.0,39162.0,False,True,True
Celesta,2025-08-04,3m,44484.0,40055.186138706515,40165.0,39162.0,False,False,False
Celesta,2025-08-04,6m,41200.0,39978.97128787068,40165.0,39162.0,False,True,True
Descubra,2026-01-11,2w,38509.5,40141.44481845977,40091.0,40329.0,True,False,True
Descubra,2026-01-11,1m,39316.0,40217.37240111578,40091.0,40329.0,True,True,True
Descubra,2026-01-11,3m,38495.5,40188.34198435406,40091.0,40329.0,True,True,True
Descubra,2026-01-11,6m,37672.5,40163.95671791735,40091.0,40329.0,True,True,True
Descubra,2025-12-02,2w,41515.5,43197.092717713655,43218.5,42385.0,True,False,True
Descubra,2025-12-02,1m,40350.5,43199.90084722276,43218.5,42385.0,True,False,False
