world,n_sell_orders,n_buy_orders,update_time,best_ask,ask_depth_tc,anon_sell,best_bid,bid_depth_tc,anon_buy,buy_orders_below_2000,buy_depth_below_2000,mid,quoted_spread_pct,order_count_ratio,depth_ratio
Ignibra,11,32,1785687746.8529303,33332,975,1.0,21559,4750,1.0,1,25,27445.5,42.89592100708678,2.909090909090909,4.871794871794871
Ignitera,4,16,1785601282.9886813,41800,2850,0.75,38120,20650,0.75,2,4975,39960.0,9.20920920920921,4.0,7.245614035087719
Inabra,3,41,1785633695.837302,41000,50000,1.0,39773,377275,0.926829268292683,4,136050,40386.5,3.0381439342354497,13.666666666666666,7.5455
Issobra,2,26,1785597917.7825928,41499,43650,0.5,39362,246175,0.9230769230769231,3,66350,40430.5,5.285613583804307,13.0,5.639747995418099
Jadebra,11,37,1785223273.7213705,40579,68875,1.0,39351,198425,0.918918918918919,4,113250,39965.0,3.072688602527211,3.3636363636363638,2.8809437386569874
Junera,30,19,1785080040.2638202,13400,2075,0.9,11475,1025,1.0,0,0,12437.5,15.477386934673367,0.6333333333333333,0.4939759036144578
Kalanta,12,17,1785256156.6489367,40125,31100,1.0,38432,95425,1.0,4,68400,39278.5,4.310246063368001,1.4166666666666667,3.0683279742765275
Kalibra,6,36,1785357134.6894388,44826,24250,1.0,42933,264850,0.9166666666666666,10,58750,43879.5,4.314087444022835,6.0,10.921649484536083
Kalimera,2,11,1785435673.946132,39499,5650,1.0,35100,6650,0.8181818181818182,1,250,37299.5,11.79372377645813,5.5,1.176991150442478
Kanda,51,45,1785406906.9345531,22949,11450,1.0,20126,20250,0.9333333333333333,2,9200,21537.5,13.107370864770749,0.8823529411764706,1.7685589519650655
Karmeya,14,26,1784991764.5284858,39304,27925,1.0,37750,100050,0.8846153846153846,3,39075,38527.0,4.033534923560101,1.8571428571428572,3.5828111011638315
Lobera,13,43,1785212493.957488,39709,51525,1.0,38611,137850,0.9767441860465116,2,45725,39160.0,2.80388151174668,3.3076923076923075,2.6754002911208152
Luminera,2,17,1785414051.1650043,43800,28225,1.0,43224,218050,0.7058823529411765,5,47575,43512.0,1.323772752344181,8.5,7.725420726306466
Lutabra,7,24,1783880481.5468245,38472,20625,0.8571428571428571,37444,86250,0.8333333333333334,2,66075,37958.0,2.708256494019706,3.4285714285714284,4.181818181818182
Luzibra,7,44,1785086486.670827,41989,6350,1.0,38702,12100,0.9090909090909091,0,0,40345.5,8.147129171778762,6.285714285714286,1.905511811023622
Maligna,50,20,1785392497.7509518,12300,2800,1.0,11304,8975,0.9,1,6525,11802.0,8.439247585155059,0.4,3.205357142857143
Menera,3,25,1785248489.6432927,43993,5750,1.0,43500,381500,0.88,2,112450,43746.5,1.126947298641034,8.333333333333334,66.34782608695652
Monstera,20,37,1785432081.7853007,37900,29625,1.0,36000,46550,1.0,1,31350,36950.0,5.142083897158322,1.85,1.5713080168776372
Monza,8,31,1785072089.7893457,42967,28275,1.0,42300,329200,0.967741935483871,6,172825,42633.5,1.5644974022775517,3.875,11.642793987621573
Mystera,3,17,1785354074.7851021,26995,900,1.0,20003,4525,1.0,0,0,23499.0,29.754457636495168,5.666666666666667,5.027777777777778
Nefera,4,31,1785386471.4492087,43818,30725,0.75,42931,240850,0.967741935483871,2,36625,43374.5,2.044980345594762,7.75,7.838893409275834
Nevia,27,23,1785274312.798301,39329,90500,1.0,38371,254000,0.9130434782608695,5,147725,38850.0,2.4658944658944657,0.8518518518518519,2.8066298342541436
Noctalia,1,22,1785348119.373016,49969,25,1.0,36000,11750,0.9545454545454546,0,0,42984.5,32.49776082076097,22.0,470.0
Oceanis,9,31,1785093677.100214,45444,4225,1.0,42042,36975,0.967741935483871,0,0,43743.0,7.777244359097455,3.4444444444444446,8.751479289940828
Ombra,6,59,1785136882.5153093,40497,108775,1.0,39111,214575,0.9830508474576272,4,98175,39804.0,3.4820621043111246,9.833333333333334,1.9726499655251666
Opulera,11,27,1785403403.5915303,19985,1025,1.0,17600,13975,0.9629629629629629,3,9950,18792.5,12.691233204735934,2.4545454545454546,13.634146341463415
