world,model,n_test,rmse,r2_oos,dm_t_vs_rw
Solidera,StructuralTS,171,0.02438153442444861,-1.6946835353954421,-4.470026129372819
Sombra,RandomWalk,76,0.05017093731569656,0.0,
Sombra,ARIMA,76,0.04870250667986922,0.05768045385599785,0.2765701365745568
Sombra,StructuralTS,76,0.11607094480754375,-4.3523266403963365,-3.6534187747955573
Talera,RandomWalk,171,0.02311797811745592,0.0,
Talera,ARIMA,171,0.029324071020956802,-0.6089732682315665,-1.6990713355973366
Talera,StructuralTS,171,0.027014756799774817,-0.36553371614706,-1.1639747573599415
Tempestera,RandomWalk,76,0.026042016541003632,0.0,
Tempestera,ARIMA,76,0.02408163326157956,0.14488868001646804,0.6164401313253839
Tempestera,StructuralTS,76,0.02419932430547029,0.13651010680037545,0.6066116931327384
Terribra,RandomWalk,77,0.026054835819688114,0.0,
Terribra,ARIMA,77,0.022589750628062358,0.24829715896904514,1.20398593291708
Terribra,StructuralTS,77,0.06245373648261435,-4.745663283310734,-4.596462862495031
Terribra,Prophet,77,0.10249478240032447,-14.474863744538037,-4.262369536676833
Thyria,RandomWalk,170,0.018664055090184675,0.0,
Thyria,ARIMA,170,0.03954973040412962,-3.490296711999907,-5.011185596797827
Thyria,StructuralTS,170,0.04752519564433093,-5.4838925829817855,-5.7396309313889535
Ustebra,RandomWalk,165,0.018600079628372995,0.0,
Ustebra,ARIMA,165,0.04072433856702291,-3.793784112791595,-5.766122852428279
Ustebra,StructuralTS,165,0.03066047505633065,-1.7172409576775327,-4.078977403332271
Venebra,RandomWalk,98,0.015308666863014261,0.0,
Venebra,ARIMA,98,0.024254800566412864,-1.5102713610636478,-3.6477800365959743
Venebra,StructuralTS,98,0.01839269257816353,-0.44349697883548544,-1.569014269312783
Vunira,RandomWalk,294,0.016033093956660787,0.0,
Vunira,ARIMA,294,0.05523259377519996,-10.867416971753375,-5.045837192594655
Vunira,StructuralTS,294,0.06922954721586211,-17.644395507986065,-8.388496018575704
Wintera,RandomWalk,167,0.015181092450968756,0.0,
Wintera,ARIMA,167,0.035803640709721,-4.562222153913057,-5.829607599613313
Wintera,StructuralTS,167,0.04302415238781599,-7.031905610520411,-6.826779407681315
Xyla,RandomWalk,171,0.023606732865097138,0.0,
Xyla,ARIMA,171,0.04017154879416564,-1.8957787779104236,-3.2727975380293697
Xyla,StructuralTS,171,0.04055298078231793,-1.951031141792075,-3.3333412343944864
Xymera,RandomWalk,78,0.021057459369505,0.0,
Xymera,ARIMA,78,0.04467679038260373,-3.501445414888855,-2.1238596218601367
Xymera,StructuralTS,78,0.07525562833226404,-11.77220938117498,-2.955668112810364
Yonabra,RandomWalk,97,0.01623887231865639,0.0,
Yonabra,ARIMA,97,0.030979899097881406,-2.6395548067026846,-2.655373948894607
Yonabra,StructuralTS,97,0.12239238597697107,-55.80637393026245,-3.9977837928067825
Yovera,RandomWalk,99,0.019197428332708856,0.0,
Yovera,ARIMA,99,0.024397791374339256,-0.6151576425516245,-2.016815396795454
Yovera,StructuralTS,99,0.03408694481050673,-2.152753706796706,-1.7430374134402344
