world,cities_total,vocations_total,voc_knight,voc_paladin,voc_elite_knight,voc_monk,voc_royal_paladin,voc_elder_druid,voc_sorcerer,voc_druid,voc_master_sorcerer,voc_exalted_monk,voc_none,gender_total,female,male,account_total,free_accounts,premium_accounts,levels_total,mean_level,median_level,chars_level_100plus,chars_level_400plus,vocgrp_druid,vocgrp_paladin,vocgrp_sorcerer,vocgrp_knight,vocgrp_monk,population,premium_share,pct_level_100plus
Opulera,2962,2962,758,331,341,314,231,216,141,166,252,204,8,2962,580,2382,2962,923,2039,2962,92.81870357866306,50.0,922,84,382,562,393,1099,518,2962,0.6883862255232951,0.3112761647535449
Ourobra,5208,5208,1092,424,893,289,514,534,357,368,428,298,11,5208,946,4262,5208,1995,3213,5208,264.99366359447004,152.0,3225,1191,902,938,785,1985,587,5208,0.6169354838709677,0.6192396313364056
Pacera,6888,6888,1247,655,1307,209,792,584,549,605,459,414,67,6888,1640,5248,6888,2913,3975,6888,280.70746225319397,187.0,4790,1813,1189,1447,1008,2554,623,6888,0.5770905923344948,0.6954123112659698
Peloria,10371,10371,1525,1087,1330,221,1119,1322,1078,1217,1010,373,89,10371,1999,8372,10371,4642,5729,10371,260.8915244431588,168.0,7115,2507,2539,2206,2088,2855,594,10371,0.5524057467939446,0.686047632822293
Penumbra,3052,3052,827,397,205,327,179,240,236,228,280,115,18,3052,495,2557,3052,1426,1626,3052,74.66841415465268,48.0,790,32,468,576,516,1032,442,3052,0.5327653997378768,0.25884665792922673
Premia,5568,5568,1091,433,818,223,548,486,532,633,433,328,43,5568,1196,4372,5568,2497,3071,5568,251.086566091954,135.0,3305,1183,1119,981,965,1909,551,5568,0.5515445402298851,0.5935704022988506
Quelibra,5564,5564,866,348,965,244,647,900,267,343,657,314,13,5564,1085,4479,5564,1667,3897,5564,336.6996764917326,243.0,4102,1805,1243,995,924,1831,558,5564,0.7003953989935299,0.7372393961179008
Quidera,6755,6755,1126,618,1068,245,702,950,438,514,710,373,11,6755,1517,5238,6755,2415,4340,6755,249.69252405625463,158.0,4554,1408,1464,1320,1148,2194,618,6755,0.6424870466321243,0.6741672834937084
Quintera,7595,7595,1205,546,924,228,620,988,891,1076,780,324,13,7595,1624,5971,7595,3337,4258,7595,236.04384463462804,131.0,4605,1461,2064,1166,1671,2129,552,7595,0.5606319947333772,0.6063199473337723
Rasteibra,5248,5248,1070,378,837,250,511,424,326,327,389,312,424,5248,912,4336,5248,2326,2922,5248,262.407012195122,149.0,3149,1252,751,889,715,1907,562,5248,0.5567835365853658,0.6000381097560976
Refugia,5250,5250,962,455,1055,216,684,431,356,381,341,347,22,5250,1218,4032,5250,2037,3213,5250,347.5045714285714,245.0,3867,1801,812,1139,697,2017,563,5250,0.612,0.7365714285714285
Retalia,4471,4471,1321,524,348,287,332,289,494,400,358,89,29,4471,732,3739,4471,2427,2044,4471,163.703198389622,85.0,2096,487,689,856,852,1669,376,4471,0.4571684186982778,0.46879892641467236
Secura,7554,7554,1231,730,1401,229,1041,675,597,639,500,432,79,7554,1718,5836,7554,3075,4479,7554,367.84180566587236,246.0,5491,2723,1314,1771,1097,2632,661,7554,0.5929308975377283,0.7268996558114906
Serdebra,5542,5542,946,317,950,228,615,767,353,407,616,324,19,5542,1053,4489,5542,1840,3702,5542,331.2549621075424,238.0,3949,1745,1174,932,969,1896,552,5542,0.6679898953446409,0.7125586430891375
Solidera,11350,11350,1459,865,1342,274,1005,1535,1403,1780,1237,386,64,11350,2239,9111,11350,5096,6254,11350,228.73444933920706,141.0,7172,2067,3315,1870,2640,2801,660,11350,0.5510132158590308,0.6318942731277533
Sombra,4107,4107,1294,498,323,280,228,270,409,409,308,59,29,4107,626,3481,4107,2304,1803,4107,97.45945945945945,55.0,1292,126,679,726,717,1617,339,4107,0.4390065741417093,0.3145848551253957
Sonira,3189,3189,957,393,304,414,226,137,186,140,168,248,16,3189,587,2602,3189,1349,1840,3189,107.56036375039197,47.0,954,186,277,619,354,1261,662,3189,0.576983380370022,0.2991533396048918
Stralis,2492,2492,863,434,168,280,112,70,206,198,80,61,20,2492,544,1948,2492,1560,932,2492,69.24317817014446,28.0,397,83,268,546,286,1031,341,2492,0.3739967897271268,0.15930979133226325
Talera,11297,11297,1516,950,1330,231,1039,1689,1302,1594,1137,372,137,11297,2258,9039,11297,4849,6448,11297,238.0678056121094,144.0,7085,2261,3283,1989,2439,2846,603,11297,0.570771001150748,0.6271576524741082
Tempestera,4464,4464,1262,541,424,189,331,384,417,523,305,64,24,4464,735,3729,4464,2521,1943,4464,144.4811827956989,82.0,2010,307,907,872,722,1686,253,4464,0.4352598566308244,0.45026881720430106
Terribra,6194,6194,1561,479,517,391,380,477,903,686,495,115,190,6194,959,5235,6194,3211,2983,6194,176.85372941556344,66.0,2756,797,1163,859,1398,2078,506,6194,0.4815950920245399,0.4449467226348079
Thyria,7480,7480,1226,693,1145,255,813,681,658,648,627,351,383,7480,1409,6071,7480,3283,4197,7480,259.85120320855617,158.0,4794,1682,1329,1506,1285,2371,606,7480,0.561096256684492,0.6409090909090909
Tornabra,3768,3768,967,321,644,315,354,292,192,220,257,192,14,3768,664,3104,3768,1425,2343,3768,232.41507430997876,104.0,1929,732,512,675,449,1611,507,3768,0.6218152866242038,0.5119426751592356
Unebra,3446,3446,929,289,570,327,331,281,149,137,252,174,7,3446,641,2805,3446,1220,2226,3446,232.35374347069066,83.0,1616,677,418,620,401,1499,501,3446,0.6459663377829368,0.4689495066744051
Ustebra,5668,5668,1373,542,991,326,631,388,365,348,357,331,16,5668,1172,4496,5668,2431,3237,5668,253.06298517995765,146.0,3511,1158,736,1173,722,2364,657,5668,0.5711009174311926,0.6194424841213833
Venebra,4319,4319,1167,370,756,236,436,257,272,285,215,316,9,4319,1016,3303,4319,1893,2426,4319,276.4908543644362,176.0,2780,1046,542,806,487,1923,552,4319,0.5617040981708729,0.6436675156286177
Victoris,3087,3087,895,349,361,348,260,185,189,161,182,142,15,3087,579,2508,3087,1527,1560,3087,137.10625202461938,63.0,1225,261,346,609,371,1256,490,3087,0.5053449951409135,0.3968253968253968
Vunira,8362,8362,1396,733,1285,250,956,838,748,769,794,407,186,8362,1649,6713,8362,3545,4817,8362,272.1113370007175,184.0,5804,1894,1607,1689,1542,2681,657,8362,0.5760583592441999,0.6940923224109065
Wintera,9071,9071,1297,682,1208,247,953,1288,935,1153,875,385,48,9071,1803,7268,9071,3664,5407,9071,254.8554734869364,161.0,6005,2079,2441,1635,1810,2505,632,9071,0.5960754051372505,0.6619997795171425
Xybra,3522,3522,1136,414,358,399,228,166,223,216,187,176,19,3522,628,2894,3522,1661,1861,3522,116.94520159000568,49.0,1129,232,382,642,410,1494,575,3522,0.5283929585462805,0.3205565019875071
Xyla,5261,5261,1094,537,829,249,613,460,361,413,394,295,16,5261,1016,4245,5261,2017,3244,5261,240.7114616992967,154.0,3290,1093,873,1150,755,1923,544,5261,0.6166128112526136,0.6253563961224102
Xymera,4050,4050,870,311,696,308,385,474,235,232,333,199,7,4050,840,3210,4050,1374,2676,4050,202.8069135802469,107.0,2119,678,706,696,568,1566,507,4050,0.6607407407407407,0.5232098765432098
Yonabra,3921,3921,910,311,803,237,433,338,155,211,226,290,7,3921,909,3012,3921,1523,2398,3921,412.49298648304006,309.0,2854,1627,549,744,381,1713,527,3921,0.6115786789084418,0.7278755419535833
Yovera,6009,6009,1307,626,1065,287,653,447,423,414,378,381,28,6009,1409,4600,6009,2587,3422,6009,247.78648693626226,158.0,3926,1312,861,1279,801,2372,668,6009,0.5694791146613413,0.6533533033782659
Yubra,3709,3709,1106,384,582,330,335,178,229,196,167,192,10,3709,827,2882,3709,1621,2088,3709,163.81423564303046,77.0,1644,395,374,719,396,1688,522,3709,0.5629549743866271,0.44324615799406847
Zuna,4248,4248,1517,741,375,63,299,159,455,432,140,19,48,4248,816,3432,4248,2825,1423,4248,155.5677966101695,87.0,2008,329,591,1040,595,1892,82,4248,0.3349811676082863,0.4726930320150659
Zunera,4175,4175,1546,683,413,57,271,162,408,463,113,13,46,4175,741,3434,4175,2833,1342,4175,164.29221556886228,89.0,1992,374,625,954,521,1959,70,4175,0.32143712574850297,0.477125748502994
