name,level,vocation,former_world,current_world,change_date
Duda Haniffer Check at Tibia.com Compare character,869,EKElite Knight,Gentebra,Celesta,2026-07-28
King Forthewin Check at Tibia.com Compare character,869,EKElite Knight,Serdebra,Quintera,2026-07-28
Teerko Wayne Check at Tibia.com Compare character,868,EDElder Druid,Unebra,Aethera,2026-07-25
Hopezz Check at Tibia.com Compare character,867,EDElder Druid,Honbra,Xyla,2026-07-23
Dead Is Dead Check at Tibia.com Compare character,867,EKElite Knight,Quintera,Calmera,2026-07-27
Goku Ek Check at Tibia.com Compare character,865,EKElite Knight,Blumera,Kalimera,2026-07-23
Czarodziejj Birddoo Check at Tibia.com Compare character,865,MSMaster Sorcerer,Jadebra,Noctalia,2026-07-27
Vinedv Check at Tibia.com Compare character,863,EKElite Knight,Antica,Serdebra,2026-07-24
Soulvald Check at Tibia.com Compare character,863,EDElder Druid,Lobera,Talera,2026-07-26
Mersalt Check at Tibia.com Compare character,861,MSMaster Sorcerer,Ourobra,Ombra,2026-07-28
Vajt Check at Tibia.com Compare character,859,EKElite Knight,Kalibra,Refugia,2026-07-23
Ghost Dy Check at Tibia.com Compare character,859,EKElite Knight,Unebra,Venebra,2026-07-26
Bez Domny Check at Tibia.com Compare character,857,EDElder Druid,Monza,Celesta,2026-07-26
Peixe Sombrio Check at Tibia.com Compare character,856,RPRoyal Paladin,Antica,Ferobra,2026-07-28
Satoshi War Tank Check at Tibia.com Compare character,855,EKElite Knight,Xyla,Jadebra,2026-07-29
Pedrin zor Check at Tibia.com Compare character,854,RPRoyal Paladin,Unebra,Tornabra,2026-07-28
Royal Millz Check at Tibia.com Compare character,853,RPRoyal Paladin,Quidera,Xymera,2026-07-29
Deusdezio Check at Tibia.com Compare character,853,PPaladin,Yonabra,Celesta,2026-07-30
Ruthless Healer Check at Tibia.com Compare character,852,EDElder Druid,Talera,Premia,2026-07-28
Orbic Check at Tibia.com Compare character,851,MSMaster Sorcerer,Celebra,Secura,2026-07-23
Kloni Check at Tibia.com Compare character,851,EMExalted Monk,Quelibra,Inabra,2026-07-28
Lost Galadriel Check at Tibia.com Compare character,848,EKElite Knight,Collabra,Venebra,2026-07-26
Max Gaint Check at Tibia.com Compare character,848,RPRoyal Paladin,Refugia,Secura,2026-07-28
Oblivionbo Check at Tibia.com Compare character,847,EDElder Druid,Inabra,Quelibra,2026-07-28
Vaio Wayne Check at Tibia.com Compare character,846,EKElite Knight,Xymera,Aethera,2026-07-23
Disaster Bonker Check at Tibia.com Compare character,846,MSMaster Sorcerer,Bona,Celesta,2026-07-30
Terror Banda Check at Tibia.com Compare character,844,EKElite Knight,Monza,Secura,2026-07-25
Thor Thertwojo Check at Tibia.com Compare character,844,MSMaster Sorcerer,Firmera,Antica,2026-07-27
Di ndo Check at Tibia.com Compare character,844,EKElite Knight,Cantabra,Rasteibra,2026-07-29
Neunes Check at Tibia.com Compare character,841,RPRoyal Paladin,Celebra,Bona,2026-07-30
Lowcost Nogueira Check at Tibia.com Compare character,840,EKElite Knight,Premia,Serdebra,2026-07-26
