scheme,target,horizon,fold,model,rmse,r2_oos,dir_acc,dm_t_vs_rw
rolling,ret,1,5,CatBoost,0.012533508943008117,0.028035725002362843,0.5488721804511278,5.172936123725334
rolling,ret,1,5,RandomForest,0.012619903081563383,0.014589940841244875,0.5176620797276209,2.5839616408682318
rolling,rel,1,0,OLS,0.013585327265913646,-0.06335152757256379,0.5283714075165807,-2.5251139024869866
rolling,rel,1,0,CatBoost,0.013028391452093386,0.022046405259545043,0.5600589535740604,2.1838474622726265
rolling,rel,1,0,RandomForest,0.013019631335159695,0.023361089073408392,0.5497420781134856,2.421659279624193
rolling,rel,1,1,OLS,0.026344582981834515,-4.325844841832614,0.5057077625570776,-28.85485924591741
rolling,rel,1,1,CatBoost,0.011329150834562499,0.015080873667507766,0.5616438356164384,1.8803669966969694
rolling,rel,1,1,RandomForest,0.011257623473649963,0.027478320860755745,0.5787671232876712,3.4557084641664386
rolling,rel,1,2,OLS,0.010746400601095689,-0.023322521655107842,0.5470016207455429,-1.9498425599738054
rolling,rel,1,2,CatBoost,0.010495806385815739,0.023846531455094966,0.5726634251755808,2.535325182141146
rolling,rel,1,2,RandomForest,0.01041420419071152,0.03896621056992966,0.5856293895191789,4.327790637897708
rolling,rel,1,3,OLS,0.011697630301986695,0.001691134288387297,0.5589760749539903,0.17358772497779973
