world,model,n_test,rmse,r2_oos,dm_t_vs_rw
Secura,SARIMAX,65,0.014720896330540568,-0.011616307684100269,-0.7866623321133543
Secura,MarkovSwitch,65,0.016266642397365045,-0.2352166921042731,-2.104441628180915
Serdebra,RandomWalk,65,0.027312148744655266,0.0,
Serdebra,SARIMA,65,0.02682892422307762,0.0350722869026211,1.0582977693085776
Serdebra,SARIMAX,65,0.02701669738857054,0.02151814011270492,0.5521359820950011
Serdebra,MarkovSwitch,65,0.029010922609735992,-0.1282655897287357,-1.5610147331076691
Solidera,RandomWalk,65,0.01841984945883031,0.0,
Solidera,SARIMA,65,0.018500556228404054,-0.008782219262573498,-0.3170482646767355
Solidera,SARIMAX,65,0.01843645410696044,-0.001803720744951498,-0.07888035221084731
Solidera,MarkovSwitch,65,0.019489744230804677,-0.11954131862904793,-1.6685552364249732
Sombra,RandomWalk,63,0.04373475485341368,0.0,
Sombra,SARIMA,63,0.044395515037145304,-0.03044497153518466,-1.3464244945167412
Sombra,SARIMAX,63,0.044416606806134455,-0.03142430785034711,-1.3037914545251246
Sombra,MarkovSwitch,63,0.044105979418460776,-0.017048229042642582,-0.2969634558679003
Talera,RandomWalk,64,0.02849773383133919,0.0,
Talera,SARIMA,64,0.029256784449315378,-0.05398039427425694,-1.3945985957613718
Talera,SARIMAX,64,0.029390490503678212,-0.06363597187973635,-1.7984592696619965
Talera,MarkovSwitch,64,0.02863943220536487,-0.009969259732848013,-0.6703917812465371
Tempestera,RandomWalk,63,0.0263080141582599,0.0,
Tempestera,SARIMA,63,0.026410300397884043,-0.007791168484288402,-0.11664131915890533
Tempestera,SARIMAX,63,0.027654372986943898,-0.10497257293502704,-1.0211391315467426
Tempestera,MarkovSwitch,63,0.026303161704458147,0.0003688614625558806,0.24794170851461272
Terribra,RandomWalk,64,0.028035536719667305,0.0,
Terribra,SARIMA,64,0.02277409426061485,0.34012074084254296,3.0688243269404194
Terribra,SARIMAX,64,0.027419863094263527,0.04343868210676349,0.4413859045430967
Terribra,MarkovSwitch,64,0.028052734766478293,-0.0012272511095889893,-0.48680277850347015
Thyria,RandomWalk,64,0.02169059892778826,0.0,
Thyria,SARIMA,64,0.02177606443180986,-0.007895944256980147,-0.3693582373490336
Thyria,SARIMAX,64,0.021345757466617984,0.03154364553960676,1.2563048815129092
Thyria,MarkovSwitch,64,0.02343136852985271,-0.16694992724778146,-1.80462053483839
Ustebra,RandomWalk,63,0.02067441739726607,0.0,
Ustebra,SARIMA,63,0.020287754225791068,0.03705520511205229,1.2603135867306379
Ustebra,SARIMAX,63,0.02100253758146259,-0.031993545243320876,-0.9688005435687516
Ustebra,MarkovSwitch,63,0.02238615328947326,-0.17244475055478903,-1.3265556436252361
Venebra,RandomWalk,64,0.01639972938956073,0.0,
Venebra,SARIMA,64,0.016332780693220778,0.00814794467102642,0.231683187169665
Venebra,SARIMAX,64,0.015620043150106407,0.09282495519490097,1.3148051091980961
Venebra,MarkovSwitch,64,0.017846706679720232,-0.1842484036310812,-1.4604805728101204
Vunira,RandomWalk,64,0.01611922923703589,0.0,
Vunira,SARIMA,64,0.015611587661816298,0.061994033393761305,0.5781095749809756
Vunira,SARIMAX,64,0.015238563461969917,0.10628404153607773,1.082619799701757
Vunira,MarkovSwitch,64,0.017704048284602987,-0.20630361027326916,-1.9791131221973952
