world,n_obs,first,last,px_first,px_last,px_med,px_min,px_max,vol,sold,bought,lots_sold,region,pvp_type,battleye_protected,battleye_date,transfer_type,created,is_merge_destination,launch_in_window,premium_only,record_online,guilds,people_in_guilds,ach_points,converged,activity_year,active_chars,premium_accounts,free_accounts,premium_share,mean_level,median_level,chars_level_100plus,pct_level_100plus,vip_total,vip_guilds,population,active_share,guilded_share,total_ret_pct
Nefera,933,2024-01-06,2026-07-30,39871.0,43395.0,41009.5,34625.5,45286.0,0.9375811602901568,3600.0,2575.0,144.0,North America,Optional PvP,True,2018-04-19,regular,2005-05-24,True,False,False,882.0,89,5195,1020874,True,255.62809917355372,7886,4203,3683,0.5329698199340603,293.5219376109561,198.0,5566,0.7058077605883845,122315,88,122315,0.06447287740669583,0.0424723051138454,8.838504175967499
Nevia,574,2025-01-01,2026-07-28,41184.0,39021.0,38186.25,35300.0,42490.5,0.94863905202335,2600.0,4575.0,104.0,Europe,Optional PvP,True,release,regular,2023-08-28,True,False,False,1051.0,63,2120,332441,True,329.6914600550964,5453,3589,1864,0.6581698147808546,302.4032642582065,196.0,3690,0.6766917293233082,123731,63,123731,0.04407141298461986,0.017133943797431526,-5.252039627039629
Noctalia,327,2025-09-04,2026-07-29,15698.0,36373.0,20250.5,14435.5,37666.5,3.47852761350438,775.0,1000.0,31.0,Europe,Open PvP,True,release,regular,2025-02-19,False,True,False,634.0,8,353,58453,False,34.59504132231405,3071,1709,1362,0.556496255291436,109.40507977857376,48.0,933,0.3038098339303158,6776,8,6776,0.4532172373081464,0.05209563164108619,131.70467575487322
Oceanis,836,2024-04-10,2026-07-26,38875.0,43448.0,40515.5,29050.0,45208.0,2.1923764690118004,175.0,275.0,7.0,Oceania,Optional PvP,True,2024-04-10,regular,2024-04-10,False,True,False,100.0,14,479,92479,False,32.24242424242424,2496,1403,1093,0.5620993589743589,203.77884615384616,90.0,1203,0.4819711538461538,6114,14,6114,0.408243375858685,0.07834478246647039,11.763344051446945
Ombra,327,2025-09-04,2026-07-27,36548.5,39259.0,38169.5,35820.5,41376.5,0.8714922088043985,3775.0,3275.0,151.0,South America,Open PvP,True,release,regular,2018-04-10,False,False,False,1050.0,28,1928,300940,True,187.1625344352617,4931,2849,2082,0.5777732711417563,245.21881971202595,154.0,3155,0.6398296491583857,69760,28,69760,0.07068520642201835,0.027637614678899084,7.416173030356932
Opulera,84,2026-05-07,2026-07-30,10537.0,18225.5,13252.0,10370.5,18777.0,2.958403091622761,1312.5,3375.0,52.5,North America,Open PvP,True,release,blocked,2026-02-18,False,True,False,506.0,16,668,37856,False,114.6024844720497,2962,2039,923,0.6883862255232951,92.81870357866306,50.0,922,0.3112761647535449,5895,16,5895,0.502459711620017,0.11331636980491942,72.96668881085697
Ourobra,559,2025-01-01,2026-07-29,39612.5,39606.5,37690.0,32114.5,41072.5,0.863764184169181,4825.0,4050.0,193.0,South America,Open PvP,True,release,regular,2024-09-09,True,False,False,622.0,39,2354,374087,True,251.43250688705234,5208,3213,1995,0.6169354838709677,264.99366359447004,152.0,3225,0.6192396313364056,61655,39,61655,0.08447003487146217,0.038180196253345226,-0.015146733985482719
Pacera,571,2025-01-01,2026-07-28,39969.0,43248.5,40610.0,37316.5,47237.0,1.263332850077586,2675.0,2300.0,107.0,North America,Optional PvP,True,2017-09-12,regular,2004-03-30,False,False,False,1052.0,89,4116,732653,True,196.12121212121212,6888,3975,2913,0.5770905923344948,280.70746225319397,187.0,4790,0.6954123112659698,80219,88,80219,0.08586494471384584,0.051309540133883495,8.205108959443574
Peloria,875,2024-03-01,2026-07-28,34425.5,38073.5,36820.5,27082.0,40892.0,1.2681056669100381,2875.0,4625.0,115.0,Europe,Open PvP,True,2017-10-19,regular,2001-12-19,True,False,False,1050.0,68,7522,1241208,True,234.25619834710744,10371,5729,4642,0.5524057467939446,260.8915244431588,168.0,7115,0.686047632822293,171995,67,171995,0.060298264484432686,0.04373382947178697,10.596795979724337
Penumbra,322,2025-09-04,2026-07-27,1178.0,22258.0,17732.0,1178.0,28303.5,6.173955171612762,562.5,1075.0,22.5,South America,Retro Open PvP,True,release,blocked,2025-08-27,False,True,False,725.0,2,100,5677,False,61.25449101796407,3052,1626,1426,0.5327653997378768,74.66841415465268,48.0,790,0.2588466579292267,7409,2,7409,0.41193143474153054,0.01349709812390336,1789.4736842105265
Premia,174,2025-09-03,2026-07-29,35297.0,38087.5,37287.75,34798.5,40241.5,1.051451310086046,2075.0,1637.5,83.0,Europe,Open PvP,True,2017-09-05,regular,2002-04-03,False,False,True,531.0,43,2917,439538,False,105.88154269972452,5568,3071,2497,0.5515445402298851,251.086566091954,135.0,3305,0.5935704022988506,31031,43,31031,0.1794334697560504,0.09400277142212626,7.9057710286993155
Quelibra,329,2025-09-04,2026-07-29,36014.0,40004.5,38146.0,35515.5,41011.5,0.8924845402265273,6325.0,3975.0,253.0,South America,Open PvP,True,2017-12-12,regular,2017-12-12,False,False,False,1055.0,51,3075,633577,True,252.14325068870522,5564,3897,1667,0.7003953989935299,336.6996764917326,243.0,4102,0.7372393961179008,74316,50,74316,0.07486947629043544,0.041377361537219444,11.080413172655067
Quidera,574,2025-01-01,2026-07-28,39296.5,38838.0,37056.0,31359.5,40875.0,1.2533039151319119,4325.0,4125.0,173.0,North America,Open PvP,True,release,regular,2024-09-09,True,False,False,488.0,49,3909,503549,True,181.25619834710744,6755,4340,2415,0.6424870466321243,249.69252405625463,158.0,4554,0.6741672834937084,105545,49,105545,0.06400113695580084,0.037036335212468616,-1.16677057753235
