model_type,series,horizon_days,lag_or_window_days,coefficient,std_error_two_way,t_stat,p_value,r2_within,cluster_variance_floor_applied,n,n_worlds,n_dates,date_start,date_end
shock_lag,kill_count,1,60,0.00011164241387127445,0.0011371990305451651,0.0981731525199717,0.9217948006470957,0.015928194030352283,True,26898,61,1185,2023-03-14,2026-07-29
shock_lag,direct_coin,1,60,-0.0003325452661649672,0.0007520923802844001,-0.44216013202954774,0.6583733334890509,0.01593704584052702,True,26898,61,1185,2023-03-14,2026-07-29
shock_lag,potential_max,1,60,0.0006528524188362056,0.0009566392275840808,0.6824437050160848,0.49495842798547407,0.015950598485350964,True,26898,61,1185,2023-03-14,2026-07-29
shock_lag,potential_conservative,1,60,0.0005889142512711231,0.0009343883006631657,0.6302671500201271,0.5285198117785543,0.01594707204786694,True,26898,61,1185,2023-03-14,2026-07-29
shock_lag,realized_25,1,60,4.739627170063899e-05,0.0008573549173887836,0.055281973357069185,0.9559138233794413,0.015927842606799913,True,26898,61,1185,2023-03-14,2026-07-29
shock_lag,realized_50,1,60,0.0003232714157227647,0.0009105513519259523,0.35502820905048055,0.7225684582705421,0.01593383834448625,True,26898,61,1185,2023-03-14,2026-07-29
shock_lag,realized_75,1,60,0.0005158150293994941,0.0009396207269785086,0.5489608887813434,0.5830322907633185,0.015942461153287346,True,26898,61,1185,2023-03-14,2026-07-29
shock_lag,realized_100,1,60,0.0006528524188362056,0.0009566392275840808,0.6824437050160848,0.49495842798547407,0.015950598485350964,True,26898,61,1185,2023-03-14,2026-07-29
shock_lag,realized_category,1,60,0.000488937901244085,0.0009153204450073009,0.5341712882204712,0.5932230317479026,0.015941527315251225,True,26898,61,1185,2023-03-14,2026-07-29
shock_lag,kill_count,7,60,0.0009543320555273978,0.002060969027666025,0.46305016849678005,0.6433284073698748,0.022683015458363043,True,26532,61,1179,2023-03-14,2026-07-23
shock_lag,direct_coin,7,60,-2.6420236918877076e-05,0.0014430857125259226,-0.018308155010856628,0.9853930217998926,0.022669203267960958,True,26532,61,1179,2023-03-14,2026-07-23
shock_lag,potential_max,7,60,0.001410526198362266,0.0017131625500722328,0.8233463884105996,0.41031104097923365,0.022709597819431382,True,26532,61,1179,2023-03-14,2026-07-23
shock_lag,potential_conservative,7,60,0.0012569196801596948,0.0017135949271721372,0.7334987167789582,0.463254310207175,0.022702569584876486,True,26532,61,1179,2023-03-14,2026-07-23
shock_lag,realized_25,7,60,0.00053033668562468,0.0016063643987387693,0.3301471858073248,0.741288751024785,0.02267617592503357,True,26532,61,1179,2023-03-14,2026-07-23
shock_lag,realized_50,7,60,0.0009318066750504182,0.0016723716555015178,0.5571767926017522,0.5774066441777141,0.022688477713135757,True,26532,61,1179,2023-03-14,2026-07-23
shock_lag,realized_75,7,60,0.0012115488351455593,0.0017006868307899645,0.7123879677381861,0.4762245643023485,0.022699978021970324,True,26532,61,1179,2023-03-14,2026-07-23
shock_lag,realized_100,7,60,0.001410526198362266,0.0017131625500722328,0.8233463884105996,0.41031104097923365,0.022709597819431382,True,26532,61,1179,2023-03-14,2026-07-23
shock_lag,realized_category,7,60,0.001155234304397185,0.0016631813064879521,0.6945931269734081,0.4873103207183236,0.022698384638757285,True,26532,61,1179,2023-03-14,2026-07-23
shock_lag,kill_count,30,60,0.00053303328672119,0.0025874487578707263,0.2060072823083986,0.8367852228552508,0.019708569828597478,True,25171,61,1156,2023-03-14,2026-06-30
shock_lag,direct_coin,30,60,0.0003300933057198068,0.0019418886890973821,0.16998569875456607,0.8650213837068698,0.019707962385932754,True,25171,61,1156,2023-03-14,2026-06-30
shock_lag,potential_max,30,60,0.0019961368541246446,0.002442344757298641,0.8173034737047012,0.41375502213936044,0.0197596964545228,True,25171,61,1156,2023-03-14,2026-06-30
shock_lag,potential_conservative,30,60,0.0014797330803381695,0.002390682506844731,0.6189584255130347,0.5359437475087301,0.01973656054112527,True,25171,61,1156,2023-03-14,2026-06-30
shock_lag,realized_25,30,60,0.0010180619758457779,0.0022199724117045985,0.4585921746045764,0.646527057172043,0.019722848145774963,True,25171,61,1156,2023-03-14,2026-06-30
shock_lag,realized_50,30,60,0.0014781229161329892,0.0023481834762184633,0.6294750521425916,0.529038096525897,0.019738062828248193,True,25171,61,1156,2023-03-14,2026-06-30
shock_lag,realized_75,30,60,0.0017847178400363646,0.0024105895019736166,0.7403657232287648,0.459078111343698,0.01975026846320871,True,25171,61,1156,2023-03-14,2026-06-30
shock_lag,realized_100,30,60,0.0019961368541246446,0.002442344757298641,0.8173034737047012,0.41375502213936044,0.0197596964545228,True,25171,61,1156,2023-03-14,2026-06-30
shock_lag,realized_category,30,60,0.0015117177920349872,0.0023517775893445777,0.6427979409635803,0.5203552193698765,0.019739013531665406,True,25171,61,1156,2023-03-14,2026-06-30
shock_lag,kill_count,1,90,-0.0009098095010546362,0.0012320499662991798,-0.7384517884347771,0.46023995389193795,0.017067523968790854,False,25130,61,1155,2023-04-14,2026-07-29
shock_lag,direct_coin,1,90,-0.0008206770373792096,0.0007916957508048847,-1.036606596088031,0.29991923797494446,0.017090469889351367,True,25130,61,1155,2023-04-14,2026-07-29
shock_lag,potential_max,1,90,-0.0014162939228137264,0.0011831483272831149,-1.1970552551648261,0.23128501859976103,0.01714644243615715,False,25130,61,1155,2023-04-14,2026-07-29
shock_lag,potential_conservative,1,90,-0.0010812880581062352,0.0010945110243018225,-0.9879188369034272,0.3231923992933078,0.017100496439956148,False,25130,61,1155,2023-04-14,2026-07-29
shock_lag,realized_25,1,90,-0.0011180218810996998,0.0009562022374489289,-1.169231609499778,0.24231032900027516,0.017118020508968712,False,25130,61,1155,2023-04-14,2026-07-29
shock_lag,realized_50,1,90,-0.0012758740932017937,0.00107225455732996,-1.1898985035595186,0.23408628671758713,0.017132928283305482,False,25130,61,1155,2023-04-14,2026-07-29
shock_lag,realized_75,1,90,-0.0013640308429859786,0.0011405947405049438,-1.195894382593873,0.23173777756266267,0.01714136947439726,False,25130,61,1155,2023-04-14,2026-07-29
shock_lag,realized_100,1,90,-0.0014162939228137264,0.0011831483272831149,-1.1970552551648261,0.23128501859976103,0.01714644243615715,False,25130,61,1155,2023-04-14,2026-07-29
shock_lag,realized_category,1,90,-0.0011013078127356057,0.0010864342482503461,-1.0136902573802444,0.31073057437058604,0.017105580041210877,False,25130,61,1155,2023-04-14,2026-07-29
shock_lag,kill_count,7,90,0.0010576504230103798,0.0019306322149757137,0.5478259477938342,0.5838114199544502,0.024630377773704026,True,24824,61,1151,2023-04-14,2026-07-23
shock_lag,direct_coin,7,90,0.0009632378255566892,0.0013386138582080925,0.7195785548239486,0.47178451978124514,0.02464257047289664,True,24824,61,1151,2023-04-14,2026-07-23
shock_lag,potential_max,7,90,0.0005995946914494943,0.0017616921422432164,0.3403515728270276,0.7335917832878736,0.02461913771854818,True,24824,61,1151,2023-04-14,2026-07-23
shock_lag,potential_conservative,7,90,0.0008728740424155165,0.0017153048572286183,0.5088739991244475,0.6108405461005686,0.0246285563686639,True,24824,61,1151,2023-04-14,2026-07-23
shock_lag,realized_25,7,90,0.0008766389327354994,0.0015498784960952076,0.5656178435562011,0.5716535952569235,0.02463163818078451,True,24824,61,1151,2023-04-14,2026-07-23
shock_lag,realized_50,7,90,0.0007687767745247775,0.001661042917974014,0.46282776092411876,0.6434878308429962,0.02462534629804447,True,24824,61,1151,2023-04-14,2026-07-23
shock_lag,realized_75,7,90,0.0006752743739854242,0.0017238011560341548,0.39173565444113473,0.6952535428635129,0.02462155630480667,True,24824,61,1151,2023-04-14,2026-07-23
shock_lag,realized_100,7,90,0.0005995946914494943,0.0017616921422432164,0.3403515728270276,0.7335917832878736,0.02461913771854818,True,24824,61,1151,2023-04-14,2026-07-23
shock_lag,realized_category,7,90,0.0007592647182601228,0.0016934131905676176,0.44836353141056123,0.6538908567307966,0.024624792569184595,True,24824,61,1151,2023-04-14,2026-07-23
shock_lag,kill_count,30,90,-0.00020698180808532022,0.0023462903889404376,-0.08821662018518997,0.9297045078190187,0.020225013048031704,True,23421,61,1128,2023-04-14,2026-06-30
shock_lag,direct_coin,30,90,0.0009107327658406292,0.0018248723180992047,0.49906656855272624,0.6177324884516034,0.020243437863411207,True,23421,61,1128,2023-04-14,2026-06-30
shock_lag,potential_max,30,90,0.0008648031738794596,0.002237527607548524,0.38649944293959065,0.6991268150868576,0.020235584071856327,True,23421,61,1128,2023-04-14,2026-06-30
shock_lag,potential_conservative,30,90,0.0011105782541002466,0.002197019182054582,0.5054931987720149,0.6132124741899432,0.02024342152660541,True,23421,61,1128,2023-04-14,2026-06-30
shock_lag,realized_25,30,90,0.0009364583502046628,0.002047446552917899,0.45737865482743767,0.6473989038683401,0.020240237463185595,True,23421,61,1128,2023-04-14,2026-06-30
shock_lag,realized_50,30,90,0.0009186191324290628,0.002152923955722431,0.4266844307191578,0.669609192135999,0.020238112545820308,True,23421,61,1128,2023-04-14,2026-06-30
shock_lag,realized_75,30,90,0.00089146337975094,0.00220730711428791,0.4038692096720448,0.686308899283951,0.020236642208589117,True,23421,61,1128,2023-04-14,2026-06-30
shock_lag,realized_100,30,90,0.0008648031738794596,0.002237527607548524,0.38649944293959065,0.6991268150868576,0.020235584071856327,True,23421,61,1128,2023-04-14,2026-06-30
shock_lag,realized_category,30,90,0.0009650541489157126,0.0021716498600855266,0.4443875445361646,0.6567624170493583,0.020239294467511715,True,23421,61,1128,2023-04-14,2026-06-30
moving_average_level,kill_count,1,7,0.0005793208736555832,0.0006849913022067709,0.8457346418695254,0.39770079326188856,0.01486368241876268,True,30436,61,1242,2023-01-14,2026-07-29
moving_average_level,direct_coin,1,7,0.0003671811570638241,0.0004791314886760326,0.7663473717380651,0.44346963843333587,0.014855624885917185,True,30436,61,1242,2023-01-14,2026-07-29
moving_average_level,potential_max,1,7,0.0004923312276726308,0.0005487660986293341,0.8971604275525364,0.3696333179353576,0.01486444190545555,True,30436,61,1242,2023-01-14,2026-07-29
moving_average_level,potential_conservative,1,7,0.00047845599309287207,0.0005447010981932696,0.8783826481713967,0.3797360976564089,0.014863447921132256,True,30436,61,1242,2023-01-14,2026-07-29
moving_average_level,realized_25,1,7,0.0004253320830077896,0.0005137181329796905,0.8279483547539187,0.4076997486255056,0.014859537754468133,True,30436,61,1242,2023-01-14,2026-07-29
moving_average_level,realized_50,1,7,0.00045797598904844997,0.0005314811872238503,0.8616974599621317,0.3888540237175897,0.014861854288651388,True,30436,61,1242,2023-01-14,2026-07-29
moving_average_level,realized_75,1,7,0.0004784493748727916,0.0005419673893517436,0.8828010398283797,0.37734377858513457,0.014863373625672582,True,30436,61,1242,2023-01-14,2026-07-29
moving_average_level,realized_100,1,7,0.0004923312276726308,0.0005487660986293341,0.8971604275525364,0.3696333179353576,0.01486444190545555,True,30436,61,1242,2023-01-14,2026-07-29
moving_average_level,realized_category,1,7,0.00047429725553224417,0.0005314959564801797,0.8923816818349237,0.37218838621537265,0.014864138773905466,True,30436,61,1242,2023-01-14,2026-07-29
moving_average_level,kill_count,7,7,0.003221467202428355,0.0013589597477382319,2.3705390890274454,0.01776216563122967,0.02145645831778753,True,30070,61,1236,2023-01-14,2026-07-23
moving_average_level,direct_coin,7,7,0.0016308888964489563,0.0008392483554565187,1.9432732704752405,0.05198314930076863,0.02126516872953743,True,30070,61,1236,2023-01-14,2026-07-23
moving_average_level,potential_max,7,7,0.002164194857813672,0.0009376019855890786,2.3082234157748154,0.020986713444096923,0.02132594173680924,True,30070,61,1236,2023-01-14,2026-07-23
moving_average_level,potential_conservative,7,7,0.0021408928887425046,0.0009213996982371714,2.3235224548461177,0.020151102795987367,0.02132664737482537,True,30070,61,1236,2023-01-14,2026-07-23
moving_average_level,realized_25,7,7,0.0018696042017859059,0.0008907707652505522,2.0988612050599027,0.03582913757721285,0.021290129529317303,True,30070,61,1236,2023-01-14,2026-07-23
moving_average_level,realized_50,7,7,0.002010206111405369,0.0009153741146258913,2.1960486748381887,0.028088459634124378,0.021306416345489576,True,30070,61,1236,2023-01-14,2026-07-23
moving_average_level,realized_75,7,7,0.0021011504331842363,0.0009291002132042548,2.2614895608923042,0.023728958400113822,0.02131770716324577,True,30070,61,1236,2023-01-14,2026-07-23
moving_average_level,realized_100,7,7,0.002164194857813672,0.0009376019855890786,2.3082234157748154,0.020986713444096923,0.02132594173680924,True,30070,61,1236,2023-01-14,2026-07-23
moving_average_level,realized_category,7,7,0.002121176344280486,0.0009080161062302543,2.3360558581794573,0.019488330492399463,0.02133164015991207,True,30070,61,1236,2023-01-14,2026-07-23
moving_average_level,kill_count,30,7,0.010218055653299897,0.004181639540439166,2.443552476124418,0.014543454382254186,0.022098490249606084,False,28667,61,1213,2023-01-14,2026-06-30
moving_average_level,direct_coin,30,7,0.004653110529556255,0.003454457858674027,1.3469872031793504,0.17798435415024472,0.020648513014764114,False,28667,61,1213,2023-01-14,2026-06-30
moving_average_level,potential_max,30,7,0.007220707848552008,0.0030925476511069186,2.3348735939339504,0.019550025184174365,0.021416895580130713,False,28667,61,1213,2023-01-14,2026-06-30
moving_average_level,potential_conservative,30,7,0.006691340497744529,0.0031408806092952453,2.1304026895966417,0.03313838194700559,0.02121217055917146,False,28667,61,1213,2023-01-14,2026-06-30
moving_average_level,realized_25,30,7,0.005789127634608399,0.0033092149129057336,1.7493960915113609,0.08022257601629776,0.02096134021086904,False,28667,61,1213,2023-01-14,2026-06-30
moving_average_level,realized_50,30,7,0.006469294483699192,0.003202593721059589,2.02001722577499,0.04338160078577553,0.021168206586281713,False,28667,61,1213,2023-01-14,2026-06-30
moving_average_level,realized_75,30,7,0.006912338143453214,0.0031351918879034637,2.20475760036352,0.027471108781352598,0.021312025115282074,False,28667,61,1213,2023-01-14,2026-06-30
moving_average_level,realized_100,30,7,0.007220707848552008,0.0030925476511069186,2.3348735939339504,0.019550025184174365,0.021416895580130713,False,28667,61,1213,2023-01-14,2026-06-30
moving_average_level,realized_category,30,7,0.006647084354914964,0.0030914618380245037,2.1501427813718585,0.0315439224971702,0.021251984081756548,False,28667,61,1213,2023-01-14,2026-06-30
moving_average_level,kill_count,1,14,0.0005645267404002225,0.0007075092797467123,0.7979071887259522,0.4249243513890354,0.015283399613552962,True,30194,61,1238,2023-01-18,2026-07-29
moving_average_level,direct_coin,1,14,0.0002833324040918113,0.00048741618307587657,0.5812946182948231,0.5610419070840255,0.015268079809006352,True,30194,61,1238,2023-01-18,2026-07-29
moving_average_level,potential_max,1,14,0.00041297495291394993,0.0005606170012991341,0.7366436479039185,0.4613390842165771,0.015276476979128373,True,30194,61,1238,2023-01-18,2026-07-29
moving_average_level,potential_conservative,1,14,0.00039146397186958876,0.0005563700214017426,0.7036036393249901,0.48167964431327726,0.015274807193206952,True,30194,61,1238,2023-01-18,2026-07-29
moving_average_level,realized_25,1,14,0.000338556709367161,0.0005227894776738449,0.6475966403791661,0.5172458707991712,0.015271344085997618,True,30194,61,1238,2023-01-18,2026-07-29
moving_average_level,realized_50,1,14,0.00037312653541740295,0.0005415946929174586,0.6889405311699925,0.49086069189241943,0.015273614169788452,True,30194,61,1238,2023-01-18,2026-07-29
